RA,DEC
150.62094,-31.67741
201.32727,-21.13416
220.23495,-0.31823
214.6138,-43.38826
338.94263,-26.05025
341.94791,-22.3121
45.65661,-22.86716
67.68935,0.86368
190.23004,-40.9764
32.881,70.77241
35.50419,33.26607
197.41936,-7.83341
54.01647,-35.44121
166.95212,-46.52607
346.23605,12.32289
80.64352,-11.49954
184.67932,65.89808
63.11806,27.70187
348.68277,4.53393
252.77838,-58.99346
139.47044,-22.35468
253.47231,-58.77807
43.61413,41.57961
165.09978,28.97482
331.47839,-50.11933
275.57285,-85.40205
213.97789,-48.11485
234.90454,59.33195
217.41827,3.23339
142.49353,-62.18325
165.79671,27.9725
226.78198,1.54428
196.05476,-5.55162
49.95098,41.51168
178.52789,-39.86706
345.24982,30.14478
29.08735,5.62887
359.74915,-55.45834
348.98959,6.68752
193.65741,46.53115
218.02322,57.92143
192.88266,-26.45209
124.69157,-25.36976
183.91402,13.90151
230.48567,5.07054
304.23535,-70.76825
159.17842,-27.52834
46.51253,-15.61121
284.23306,-54.54544
341.84232,-65.05849
344.50757,-33.74221
101.20464,-27.63861
159.06779,37.32463
157.2561,-44.65685
170.26227,53.16943
55.2369,-22.56448
272.96347,14.98177
330.5079,-31.86989
208.60094,-48.51253
157.22322,-35.60551
310.98917,-80.00085
354.73785,-12.96109
357.85367,20.11182
157.96703,-34.8537
160.88759,-36.4107
65.86292,75.29557
134.33546,2.9214
193.05544,-29.84066
267.95337,23.07194
187.5726,12.32854
324.12027,-54.55732
195.24887,-14.51363
0.99545,20.75235
184.87743,14.87769
53.01423,68.36839
57.11308,-16.3929
144.18689,-21.12815
206.75168,60.97308
147.81438,-32.75256
176.69371,-27.92218
184.40326,29.60801
333.91455,37.29871
94.09206,-21.37272
110.33326,-69.00148
288.46808,-56.30996
185.89709,16.72226
305.93692,-19.32542
234.10945,-66.85975
353.31857,-45.01596
356.24683,-42.91093
146.57774,-30.43748
160.53145,13.74693
42.3317,8.09264
192.95015,-10.45473
39.84861,1.09379
145.726,31.84726
20.91642,33.25613
109.16273,-35.37344
218.8737,48.74154
211.18013,54.89262
40.93477,-29.00336
30.06218,31.42939
191.82291,-2.72749
185.3866,14.60607
