CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2005iq,5,0.03341,0.00087,0.03292,0.00012,0.03404,0.00012,16.5986,0.141058,35.8516,0.143619,-9.0,0,1,-0.126797,0.021964,-1.16049,0.04371,16.4917,0.0241147,0.00454286,0.000100899,-0.000161599,2.48491e-07,-1.73208e-06,359.635,-18.7092,-999,-999,-9.0,-141.551,250,0.0190066,10.49,0.17,53688.3,0.0451,60,51.37,0.77859,0.053,0.0575,0.0616,0.002,1.0,0.003
PS15bsq,150,0.03371,0.00086,0.03309,2e-05,0.0343,2e-05,16.5267,0.1574,35.7797,0.159699,-9.0,0,1,-0.069085,0.033475,0.51225,0.13182,16.2831,0.0419123,0.00550476,0.000212498,0.000102345,-5.59667e-06,-5.87957e-06,355.467,-8.6379,-999,-999,-9.0,-179.377,250,0.029599,10.9397,0.013,57262.9,0.1232,8,8.30139,0.4046,0.0769,0.0563,-0.0068,0.001,1.0,0.002
2004L,63,0.03373,0.00086,0.03344,1e-05,0.03229,1e-05,16.576,0.272338,35.829,0.273673,-9.0,0,1,0.15241,0.032163,-1.03269,0.24302,17.1121,0.044689,0.00256535,0.00010559,0.000112504,-1.37205e-06,-2.43857e-06,156.767,16.0187,-999,-999,-9.0,-83.4708,250,0.0273815,10.1437,0.047,53031.4,0.6967,17,30.2296,0.0247357,0.0828,0.0563,-0.1399,0.004,1.0,0.021
2003gn,57,0.03375,0.00086,0.03316,2e-05,0.03438,2e-05,16.7699,0.241513,36.0229,0.243018,-9.0,0,1,0.048082,0.025656,-1.09542,0.10076,17.1435,0.0390999,0.0024922,8.97501e-05,0.000264846,-1.34194e-06,-1.81706e-06,338.465,20.8024,-999,-999,-9.0,-170.66,250,0.0427439,7.0,-9.0,52853.1,0.0684,46,87.6453,0.000209175,0.0555,0.0563,0.011,0.007,1.0,0.021
2003cq,63,0.03378,0.00086,0.03323,2e-05,0.03275,2e-05,16.5746,0.257715,35.8276,0.259126,-9.0,0,1,0.09667,0.050938,-0.735787,0.15753,16.9267,0.0608434,0.00304311,0.000170533,-0.000249224,-2.38629e-06,-8.22534e-06,179.059,60.522,-999,-999,-9.0,-159.416,250,0.0173813,10.4839,0.037,52739.6,0.1613,12,34.9449,0.000477861,0.1067,0.0562,-0.1078,0.003,1.0,0.016
2006S,64,0.03393,0.00086,0.0331,1e-05,0.03224,1e-05,16.6559,0.175145,35.9089,0.177213,-9.0,0,1,0.023002,0.026337,0.8864,0.067147,16.5789,0.0297753,0.00419221,0.000114968,-0.000236704,5.2304e-08,-2.6427e-06,191.413,35.0868,-999,-999,-9.0,-240.121,250,0.0143507,10.2024,0.087,53770.3,0.0902,58,126.679,5.00474e-07,0.06,0.056,-0.0698,0.001,1.0,0.007
2006gr,57,0.03428,0.00086,0.03352,1e-05,0.03467,1e-05,16.6658,0.205651,35.9188,0.207416,-9.0,0,1,0.065043,0.029857,0.81322,0.096726,16.706,0.0566383,0.00372923,0.000194538,0.000218212,-2.17148e-06,-4.46192e-06,338.095,30.8287,-999,-999,-9.0,-220.637,250,0.0731942,10.0957,-9.0,54013.2,0.061,50,101.9,2.06753e-05,0.0624,0.0554,-0.0934,0.002,1.0,0.012
2006gr,64,0.03428,0.00086,0.03352,1e-05,0.03467,1e-05,16.6848,0.209584,35.9378,0.211316,-9.0,0,1,0.071739,0.029083,0.80323,0.068742,16.7436,0.0552809,0.00360219,0.000183407,-0.000203563,3.59343e-07,-4.17718e-06,338.095,30.8287,-999,-999,-9.0,-220.637,250,0.0731942,10.0957,0.432,54013.3,0.0639,53,80.0454,0.00960784,0.0601,0.0554,-0.097,0.002,1.0,0.013
ASASSN-16dw,150,0.03437,0.00088,0.03565,0.00015,0.03466,0.00015,16.5307,0.215389,35.7837,0.217075,-9.0,0,1,0.054822,0.034758,-0.229019,0.14442,16.7191,0.0487269,0.0036843,0.000165348,-0.000513015,1.28727e-06,-4.65935e-06,202.503,-27.9739,-999,-999,-9.0,371.74,250,0.0456106,10.1423,0.001,57482.8,0.3596,12,19.2588,0.0824708,0.079,0.0565,-0.0673,0.001,1.0,0.011
1996bl,61,0.03459,0.00087,0.03481,9e-05,0.036,9e-05,16.4818,0.153296,35.7348,0.155656,-9.0,0,1,-0.019262,0.031572,-0.152679,0.10963,16.4495,0.063819,0.00472265,0.000277595,0.000164367,-1.9689e-06,-6.84133e-06,9.0749,11.3946,-999,-999,-9.0,63.5454,250,0.0855074,10.1459,0.16,50377.1,0.1528,27,46.5117,0.0112009,0.0642,0.0555,-0.0476,0.001,1.0,0.004
2003kc,63,0.03479,0.00086,0.0341,1e-05,0.03316,1e-05,16.6036,0.203994,35.8566,0.205773,-9.0,0,1,0.058669,0.037372,-0.627251,0.17134,16.8423,0.0565346,0.00328912,0.000171266,0.000197909,3.13163e-07,-5.86802e-06,146.643,30.6553,-999,-999,-9.0,-200.587,250,0.0175696,10.3635,0.045,52978.5,0.5325,14,56.6137,4.56308e-07,0.0707,0.0546,-0.0877,0.002,1.0,0.011
ASASSN-15jl,150,0.03512,0.00086,0.03492,1e-05,0.03468,1e-05,16.6286,0.167159,35.8816,0.169326,-9.0,0,1,-0.085933,0.031868,0.22915,0.15282,16.4189,0.0361909,0.00485786,0.000161927,-0.000305211,1.47244e-08,-4.46046e-06,230.671,50.9766,-999,-999,-9.0,-56.2292,250,0.0137576,8.79586,0.142,57166.0,0.2799,10,23.4804,0.00910557,0.0751,0.0541,0.0374,0.001,1.0,0.005
1992bg,50,0.03515,0.00088,0.03574,0.00015,0.03525,0.00015,16.6407,0.209934,35.8937,0.211664,-9.0,0,1,-0.052286,0.052965,-0.452709,0.12174,16.5793,0.10989,0.00419072,0.000424171,-0.0013616,7.98339e-06,-1.64835e-05,115.486,-62.5194,-999,-999,-9.0,169.302,250,0.15688,10.4968,0.28089,48916.6,0.4628,21,16.0548,0.76656,0.116,0.0553,-0.0189,0.001,1.0,0.003
ASASSN-15tg,150,0.03529,0.00086,0.03445,6e-05,0.03561,6e-05,16.608,0.166424,35.861,0.1686,-9.0,0,1,-0.052529,0.034323,1.54158,0.2321,16.2518,0.040328,0.00566595,0.000210453,-0.000676349,-1.44347e-06,-6.08045e-06,5.171,25.229,-999,-999,-9.0,-241.332,250,0.0247216,10.227,0.004,57361.4,0.451,7,15.6283,0.0287382,0.0869,0.0538,-0.0187,0.001,1.0,0.002
PTSS-16efw,150,0.03568,0.00086,0.03542,2e-05,0.03557,2e-05,16.981,0.186511,36.234,0.188455,-9.0,0,1,-0.125294,0.049018,-0.139619,0.15966,16.7345,0.12736,0.00363255,0.000426099,-0.00109002,5.78339e-06,-1.70445e-05,263.908,8.809,-999,-999,-9.0,-76.0813,250,0.17693,9.96056,0.006,57509.6,0.7403,15,27.7843,0.0229589,0.0934,0.0533,0.0679,0.001,1.0,0.004
2016fbk,51,0.03576,0.00086,0.03495,1e-05,0.03587,1e-05,16.7061,0.223548,35.9591,0.225173,-9.0,0,1,0.092859,0.028477,-0.491218,0.11336,17.0065,0.0402182,0.00282762,0.000104742,-0.000376618,6.53331e-07,-2.39295e-06,26.0272,34.3827,-999,-999,-9.0,-233.258,250,0.0419285,10.765,0.002,57626.2,0.2149,18,10.3105,0.9213,0.0651,0.0531,-0.1117,0.003,1.0,0.015
1994T,61,0.03583,0.00086,0.03564,1e-05,0.03457,1e-05,16.6795,0.202439,35.9325,0.204232,-9.0,0,1,0.031814,0.031789,-1.51339,0.15186,16.9856,0.0460261,0.00288234,0.000122187,-0.000590834,2.40408e-06,-2.60918e-06,200.378,-2.149,-999,-999,-9.0,-55.0583,250,0.0255124,10.2173,0.19,49512.4,0.5821,22,215.698,2.98405e-33,0.0805,0.053,-0.0679,0.001,1.0,0.008
ASASSN-15mi,150,0.03585,0.00086,0.03501,0.0,0.03442,0.0,16.2985,0.202534,35.5515,0.204326,-9.0,0,1,-0.007576,0.032119,0.49532,0.1448,16.2652,0.0375196,0.00559656,0.000193399,-7.68823e-05,-3.29031e-06,-5.29917e-06,210.815,41.6041,-999,-999,-9.0,-241.958,250,0.018092,9.51083,0.297,57221.3,0.1801,8,49.0429,6.23851e-08,0.0751,0.053,0.0108,0.001,1.0,0.01
ASASSN-15ss,150,0.03599,0.00087,0.03592,0.00012,0.03556,0.00012,16.7379,0.185228,35.9909,0.187185,-9.0,0,1,-0.120564,0.050478,0.79388,0.23176,16.3442,0.13425,0.00520366,0.000643411,0.000281829,-5.95665e-06,-2.58305e-05,93.1391,-14.2575,-999,-999,-9.0,-19.5249,250,0.19921,10.7564,0.104,57338.2,0.0534,8,10.8254,0.28787,0.1017,0.0534,0.0439,0.001,1.0,0.002
2001ck,57,0.03616,0.00093,0.03544,0.00036,0.03483,0.00036,16.6056,0.221845,35.8586,0.223482,-9.0,0,1,-0.070943,0.045185,0.012403,0.15725,16.4577,0.0340582,0.00468729,0.000147035,-0.000524374,-2.99386e-06,-5.37857e-06,219.459,30.4839,-999,-999,-9.0,-209.706,250,0.0109,7.0,-9.0,52073.0,0.1225,30,22.1254,0.84944,0.1192,0.0568,0.0209,0.002,1.0,0.006
PS15bbn,150,0.03624,0.00087,0.03602,0.00012,0.0371,0.00012,16.9315,0.185288,36.1845,0.187245,-9.0,0,1,-0.047187,0.037277,1.50732,0.25123,16.6331,0.0620079,0.00398809,0.000227765,-0.00056526,3.08202e-06,-6.509e-06,315.99,13.3684,-999,-999,-9.0,-64.0261,250,0.071218,7.94021,0.012,57213.9,0.5459,8,9.03538,0.33932,0.0884,0.0531,0.0175,0.001,1.0,0.005
2008hj,5,0.03682,0.00088,0.03643,0.00015,0.03761,0.00015,16.6752,0.154255,35.9282,0.1566,-9.0,0,1,-0.0755,0.02205,0.18381,0.036397,16.4945,0.0287141,0.00453102,0.00011983,-0.000132903,3.9565e-07,-1.9749e-06,1.008,-11.1687,-999,-999,-9.0,-111.993,250,0.0308616,9.9461,0.39,54802.4,0.0353,60,87.636,0.0114946,0.0517,0.0528,0.0275,0.002,1.0,0.006
2008hj,65,0.03682,0.00088,0.03643,0.00015,0.03761,0.00015,16.6306,0.183129,35.8836,0.185109,-9.0,0,1,-0.090516,0.03231,-0.463779,0.30543,16.5136,0.0387637,0.00445217,0.000158954,-0.000227285,-2.98738e-06,-4.05169e-06,1.008,-11.1687,-999,-999,-9.0,-111.993,250,0.0308616,9.9461,0.155,54803.5,0.5825,8,28.9699,0.000320976,0.0885,0.0528,0.042,0.003,1.0,0.005
2002hu,63,0.03705,0.00132,0.03591,0.001,0.0367,0.001,16.7107,0.164362,35.9637,0.166565,-9.0,0,1,-0.099791,0.026596,0.52295,0.093247,16.3971,0.0373428,0.00495625,0.000170465,6.72674e-05,-1.25188e-06,-3.61336e-06,34.5836,37.4663,-999,-999,-9.0,-326.811,250,0.0383887,10.099,4.71,52592.5,0.0955,29,31.5182,0.34141,0.059,0.0788,0.0197,0.001,1.0,0.003
2000cf,62,0.03707,0.00087,0.03646,7e-05,0.03642,7e-05,16.7945,0.164133,36.0475,0.166339,-9.0,0,1,-0.047118,0.028055,-0.520479,0.083082,16.7894,0.0386271,0.00345332,0.000122858,-0.00023789,2.058e-06,-2.75499e-06,238.234,65.9369,-999,-999,-9.0,-178.209,250,0.028725,9.49238,0.28089,51673.2,0.273,42,72.1833,0.0025821,0.062,0.0519,0.0114,0.003,1.0,0.006
2001eh,57,0.03725,0.00088,0.03627,0.00016,0.03713,0.00016,16.7537,0.13249,36.0067,0.135213,-9.0,0,1,-0.042863,0.025636,1.78553,0.091747,16.3815,0.0434015,0.00502826,0.000201001,0.00229763,-1.14958e-05,-4.70549e-06,24.5504,41.6552,-999,-999,-9.0,-283.424,250,0.0546999,11.1794,-9.0,52169.5,0.1216,77,44.228,0.99901,0.0489,0.0522,-0.0287,0.003,1.0,0.003
2001eh,63,0.03725,0.00088,0.03627,0.00016,0.03713,0.00016,16.7397,0.146711,35.9927,0.149174,-9.0,0,1,-0.030117,0.028355,1.71263,0.13209,16.4071,0.0453657,0.00491103,0.000205199,-0.000783567,3.61749e-06,-4.7029e-06,24.5504,41.6552,-999,-999,-9.0,-283.424,250,0.0546999,11.1794,3.186,52170.2,0.303,32,80.1299,5.24198e-06,0.0646,0.0522,-0.0392,0.002,1.0,0.003
ASASSN-16db,150,0.0373,0.00086,0.03589,1e-05,0.03486,1e-05,16.6168,0.187759,35.8698,0.18969,-9.0,0,1,0.016022,0.03646,-1.00742,0.15357,16.8165,0.0433864,0.00336814,0.000134592,-3.52258e-05,-3.81914e-06,-4.17373e-06,167.357,29.5732,-999,-999,-9.0,-408.932,250,0.0226062,10.678,0.013,57465.3,0.2439,13,24.5376,0.0265304,0.0848,0.051,-0.0508,0.001,1.0,0.006
AT2016hns,150,0.0374,0.00087,0.03704,6e-05,0.03817,6e-05,16.7259,0.16144,35.9789,0.163683,-9.0,0,1,-0.096867,0.035762,-1.00508,0.17591,16.6564,0.0545461,0.00390337,0.000196101,-0.000106342,-2.7789e-06,-5.38671e-06,324.921,24.4065,-999,-999,-9.0,-105.312,250,0.0626788,10.4701,0.017,57697.5,0.2082,6,11.0277,0.0875225,0.0833,0.0514,0.0294,0.001,1.0,0.002
ASASSN-15bc,150,0.03753,0.00087,0.03639,0.0001,0.03672,0.0001,16.696,0.261217,35.949,0.262609,-9.0,0,1,0.056405,0.031777,0.56778,0.15933,16.8648,0.0426935,0.00322175,0.000126686,0.000228519,-3.06956e-06,-3.30764e-06,61.561,-8.8856,-999,-999,-9.0,-330.399,250,0.0374655,8.86694,0.011,57047.8,0.1656,10,4.13607,0.941,0.0724,0.0513,0.0257,0.002,1.0,0.022
2007jg,51,0.03756,0.00086,0.03652,1e-05,0.03707,1e-05,17.0803,0.169106,36.3333,0.171248,-9.0,0,1,-0.104639,0.032621,-0.411462,0.25625,16.9229,0.0728308,0.0030539,0.000204854,0.000123741,3.36268e-06,-5.27579e-06,52.4617,0.0568,-999,-999,-9.0,-297.735,250,0.0912795,8.21426,-9.0,54365.8,0.574,44,24.2616,0.99317,0.0696,0.0506,0.053,0.003,1.0,0.005
2007jg,5,0.03756,0.00086,0.03652,1e-05,0.03707,1e-05,16.9655,0.169201,36.2185,0.171341,-9.0,0,1,-0.034681,0.026346,-0.553643,0.058285,16.9973,0.0613891,0.00285167,0.000161237,-0.000203823,6.51946e-07,-3.2508e-06,52.4617,0.0568,-999,-999,-9.0,-297.735,250,0.0912795,8.21426,10.0,54367.1,0.0779,52,53.5059,0.41623,0.0542,0.0506,0.0049,0.003,1.0,0.007
2008gb,65,0.03796,0.00087,0.03641,9e-05,0.037,9e-05,16.8359,0.197034,36.0889,0.198876,-9.0,0,1,-0.026254,0.041743,0.035543,0.26811,16.8088,0.11288,0.00339232,0.000352675,-0.000449936,1.31839e-06,-1.20341e-05,44.488,46.8657,-999,-999,-9.0,-447.194,250,0.17054,9.17934,4.495,54747.1,0.0207,32,15.4862,0.99384,0.0862,0.0507,0.0069,0.003,1.0,0.008
2007O,57,0.03818,0.00087,0.03732,1e-05,0.03694,1e-05,16.6408,0.149302,35.8938,0.151724,-9.0,0,1,-0.068868,0.027717,-0.124259,0.20085,16.4877,0.0326883,0.00455971,0.000137279,-0.000515943,3.41702e-06,-3.12465e-06,224.022,45.4047,-999,-999,-9.0,-245.945,250,0.0199023,10.8351,-9.0,54123.8,0.3108,22,37.003,0.0236379,0.0702,0.0504,-0.0109,0.001,1.0,0.003
2007O,64,0.03818,0.00087,0.03732,1e-05,0.03694,1e-05,16.6087,0.150297,35.8617,0.152703,-9.0,0,1,-0.060189,0.029275,-0.531568,0.099741,16.5407,0.0380664,0.00434212,0.000152237,-6.49915e-05,-1.07857e-06,-3.25417e-06,224.022,45.4047,-999,-999,-9.0,-245.945,250,0.0199023,10.8351,0.031,54125.6,0.3492,34,40.2123,0.21429,0.0705,0.0504,-0.0127,0.001,1.0,0.003
2008fr,65,0.03828,0.00218,0.0379,0.002,0.039,0.002,16.8611,0.234604,36.1141,0.236153,-9.0,0,1,-0.117726,0.029092,0.49771,0.11284,16.5287,0.0416668,0.00439053,0.000168493,-0.000679532,3.27795e-06,-3.86602e-06,17.9548,14.6408,-999,-999,-9.0,-110.971,250,0.0386775,8.07746,0.075,54732.7,0.3369,50,20.928,0.99991,0.0677,0.126,0.0527,0.003,1.0,0.005
2009bv,65,0.03848,0.00087,0.03748,6e-05,0.03667,6e-05,17.0034,0.147524,36.2564,0.149974,-9.0,0,1,-0.139538,0.028849,0.46163,0.085533,16.6178,0.0295837,0.00404461,0.000110206,1.40964e-05,-1.87081e-06,-2.71748e-06,196.835,35.7844,-999,-999,-9.0,-287.734,250,0.00758106,10.123,0.342,54927.3,0.0758,41,250.368,7.505840000000001e-32,0.068,0.05,0.0616,0.002,1.0,0.002
2008051,65,0.03873,0.00087,0.03835,6e-05,0.03777,6e-05,16.7595,0.168197,36.0125,0.17035,-9.0,0,1,-0.132215,0.030391,0.71931,0.13509,16.37,0.0422451,0.00508143,0.000197714,-0.000331775,1.6397e-06,-4.68373e-06,229.995,4.9046,-999,-999,-9.0,-109.175,250,0.0366807,8.26419,0.0,54616.8,0.3395,41,63.0173,0.0151154,0.0709,0.0497,0.0731,0.005,1.0,0.004
ASASSN-15np,150,0.03884,0.00087,0.03832,5e-05,0.03768,5e-05,16.773,0.21784,36.026,0.219507,-9.0,0,1,0.05253,0.037158,-1.06429,0.23568,17.0748,0.0470874,0.00265511,0.00011515,-0.000348197,-7.99749e-07,-3.12978e-06,226.511,7.5615,-999,-999,-9.0,-150.196,250,0.026422,10.1408,0.001,57241.7,0.0471,6,10.294,0.11281,0.0956,0.0496,-0.0701,0.001,1.0,0.01
2008dr,57,0.04014,0.00087,0.03996,1e-05,0.04119,1e-05,17.031,0.145415,36.284,0.147901,-9.0,0,1,-0.001615,0.021237,-1.38746,0.082156,17.2345,0.0321758,0.00229182,6.79183e-05,-9.7201e-05,2.74504e-08,-1.12835e-06,332.715,2.1082,-999,-999,-9.0,-51.0533,250,0.036936,11.3888,-9.0,54649.5,0.1443,50,41.1414,0.80965,0.0477,0.048,-0.0485,0.001,1.0,0.005
PS15cze,150,0.04035,0.00087,0.03891,2e-05,0.03937,2e-05,17.2956,0.233076,36.5486,0.234635,-9.0,0,1,0.030005,0.04777,-1.51168,0.24032,17.5972,0.12296,0.00164105,0.000185846,-0.000441142,-7.87068e-07,-5.91862e-06,56.8476,0.8772,-999,-999,-9.0,-414.188,250,0.18478,10.4136,0.013,57364.3,0.1737,14,27.1304,0.0185153,0.1206,0.0477,-0.0666,0.001,1.0,0.007
2003fa,57,0.04056,0.00088,0.04015,0.00012,0.04039,0.00012,16.7637,0.14091,36.0167,0.143473,-9.0,0,1,-0.094287,0.026125,1.18712,0.056014,16.3639,0.0351339,0.00511018,0.000165363,-7.19816e-05,-2.67245e-07,-3.48768e-06,266.032,40.881,-999,-999,-9.0,-119.777,250,0.0336865,10.3091,-9.0,52807.4,0.0451,85,86.5273,0.43348,0.0577,0.048,0.0145,0.002,1.0,0.003
2003fa,63,0.04056,0.00088,0.04015,0.00012,0.04039,0.00012,16.8288,0.142444,36.0818,0.14498,-9.0,0,1,-0.052499,0.02637,1.50968,0.09639,16.4737,0.0358371,0.00461855,0.000152446,0.000140872,-2.66347e-06,-3.32237e-06,266.032,40.881,-999,-999,-9.0,-119.777,250,0.0336865,10.3091,4.257,52807.5,0.0693,49,61.578,0.10716,0.058,0.048,-0.0224,0.002,1.0,0.003
PS16axi,150,0.04089,0.00087,0.04056,1e-05,0.0393,1e-05,16.8733,0.166662,36.1263,0.168835,-9.0,0,1,-0.028406,0.03884,-0.724985,0.18818,16.9177,0.0507428,0.00306839,0.000143404,-0.00163205,4.78165e-06,-4.9151e-06,162.03,0.1635,-999,-999,-9.0,-93.2801,250,0.0338311,10.1805,0.001,57461.3,0.4706,14,23.7947,0.0485062,0.0895,0.0471,-0.0271,0.001,1.0,0.003
2009do,65,0.04099,0.00087,0.04027,1e-05,0.03964,1e-05,16.7873,0.144749,36.0403,0.147245,-9.0,0,1,-0.035481,0.029125,-1.16148,0.064154,16.8767,0.0329066,0.00318644,9.65749e-05,1.01132e-05,1.27812e-07,-2.33504e-06,188.743,50.8512,-999,-999,-9.0,-206.576,250,0.0127325,10.4649,0.02,54946.6,0.1913,44,192.771,1.5900699999999994e-20,0.0659,0.047,-0.0246,0.001,1.0,0.003
2001az,63,0.04101,0.00087,0.04059,9e-05,0.04069,9e-05,17.0623,0.148357,36.3153,0.150794,-9.0,0,1,-0.081271,0.029423,1.11507,0.40795,16.7018,0.0480562,0.00374357,0.000165696,0.00153605,1.58741e-05,-3.40658e-06,248.615,76.0297,-999,-999,-9.0,-120.833,250,0.043583,10.239,0.059,52031.2,0.8186,14,9.76209,0.77936,0.0731,0.047,0.0029,0.001,1.0,0.003
1992bl,50,0.04222,0.00089,0.0428,0.00018,0.04359,0.00018,16.9571,0.206282,36.2101,0.208042,-9.0,0,1,-0.069318,0.04571,-1.72194,0.084356,17.0492,0.0417672,0.00271849,0.000104578,-0.000388039,-1.10828e-06,-3.10487e-06,348.805,-44.7433,-999,-999,-9.0,167.011,250,0.0102831,10.8343,0.28089,48947.6,0.3179,21,21.8328,0.4092,0.1212,0.0467,-0.0,0.001,1.0,0.003
2014bj,51,0.04258,0.00507,0.04239,0.005,0.043,0.005,17.2576,0.425631,36.5106,0.426487,-9.0,0,1,-0.010656,0.029043,0.80842,0.42646,17.1604,0.0731528,0.0024539,0.000165334,0.0007157,-2.92822e-06,-3.34464e-06,290.663,43.8908,-999,-999,-9.0,-53.1604,250,0.090819,7.87303,-9.0,56796.4,0.0336,62,73.0754,0.15867,0.0892,0.2639,0.0026,0.004,1.0,0.01
2006cf,64,0.04268,0.00087,0.04223,1e-05,0.04146,1e-05,17.0401,0.148584,36.2931,0.151018,-9.0,0,1,-0.125206,0.031788,-0.261406,0.20558,16.792,0.0404032,0.0034452,0.000128205,-0.00108187,6.15696e-06,-3.53719e-06,163.511,46.0267,-999,-999,-9.0,-129.538,250,0.0137279,10.9479,0.01,53874.2,0.5025,6,35.056,4.20322e-06,0.0758,0.0452,0.0481,0.003,1.0,0.002
2007kk,51,0.04285,0.00088,0.0413,0.00016,0.04177,0.00016,16.9991,0.17345,36.2521,0.175538,-9.0,0,1,-0.049623,0.042293,0.94211,0.21679,16.7327,0.12592,0.00363833,0.000421973,-0.000363324,-2.89584e-06,-1.53825e-05,55.5969,39.2418,-999,-999,-9.0,-446.686,250,0.19586,10.8891,0.002,54383.7,0.3135,50,31.1579,0.98313,0.0786,0.0455,-0.0263,0.001,1.0,0.003
2007kk,65,0.04285,0.00088,0.0413,0.00016,0.04177,0.00016,16.9541,0.164312,36.2071,0.166515,-9.0,0,1,-0.050188,0.041943,0.93536,0.13553,16.6875,0.12472,0.00379329,0.000435748,-0.00328473,2.48542e-05,-1.63887e-05,55.5969,39.2418,-999,-999,-9.0,-446.686,250,0.19586,10.8891,0.048,54383.8,0.2628,68,52.7256,0.91384,0.0683,0.0455,-0.0259,0.001,1.0,0.003
AT2016htm,150,0.04289,0.00088,0.04265,0.00015,0.04332,0.00015,16.9488,0.160264,36.2018,0.162522,-9.0,0,1,-0.07832,0.032698,-0.466558,0.20121,16.8576,0.0374754,0.00324306,0.000111938,0.000703014,-4.58578e-06,-3.14677e-06,38.0109,-26.6659,-999,-999,-9.0,-67.4911,250,0.014586,9.40838,0.014,57702.6,0.1387,10,19.5976,0.033297,0.0762,0.0455,0.0298,0.001,1.0,0.005
MASTERJ0134,150,0.04369,0.00087,0.04391,4e-05,0.04485,4e-05,17.0064,0.175714,36.2594,0.177777,-9.0,0,1,-0.070549,0.043894,0.40246,0.20036,16.8032,0.0648028,0.00340972,0.000203511,-0.000363909,2.06262e-06,-7.78747e-06,23.5627,-17.8121,-999,-999,-9.0,60.6481,250,0.0176115,9.19675,0.002,57665.8,0.6587,5,2.51605,0.86667,0.0911,0.0442,0.0219,0.001,1.0,0.005
ASASSN-15mg,150,0.04408,0.00087,0.04307,1e-05,0.04277,1e-05,17.0768,0.179185,36.3298,0.181208,-9.0,0,1,-0.044881,0.037229,-1.55653,0.1597,17.233,0.0435214,0.002295,9.19944e-05,-0.000679711,-1.12026e-06,-2.8374e-06,233.094,41.8504,-999,-999,-9.0,-289.796,250,0.0278557,9.84386,0.029,57218.1,0.1421,12,9.16036,0.68918,0.0905,0.0438,0.013,0.002,1.0,0.005
AT2016cvv,150,0.04438,0.00096,0.04404,0.0004,0.04457,0.0004,17.2939,0.229619,36.5469,0.231201,-9.0,0,1,0.054703,0.043587,1.47222,0.33066,17.2196,0.0741287,0.00232353,0.000158639,-0.00449484,1.08624e-05,-5.56977e-06,290.12,54.2087,-999,-999,-9.0,-97.4435,250,0.0886039,11.4594,0.034,57558.1,0.7166,9,24.2621,0.00390558,0.112,0.048,-0.0786,0.002,1.0,0.01
2005ku,5,0.04439,0.00087,0.04397,1e-05,0.04525,1e-05,17.0386,0.247611,36.2916,0.249078,-9.0,0,1,0.06224,0.024688,-0.1945,0.14602,17.3103,0.0377587,0.00213728,7.43281e-05,-0.000266579,1.10171e-06,-1.31858e-06,344.927,-0.0137,-999,-999,-9.0,-120.6,250,0.046251,9.64568,0.61,53699.5,0.2244,20,73.7123,4.46064e-08,0.0605,0.0435,-0.0018,0.009,1.0,0.023
1992bh,50,0.0444,0.00218,0.0451,0.002,0.045,0.002,17.298,0.269174,36.551,0.270525,-9.0,0,1,0.023653,0.045347,-0.008455,0.14974,17.3486,0.0377084,0.00206331,7.16602e-05,-0.00201556,2.97258e-06,-2.56518e-06,74.8628,-58.8304,-999,-999,-9.0,202.276,250,0.0191094,10.1363,0.3,48920.9,0.4295,24,15.9819,0.88873,0.1209,0.1089,-0.0762,0.002,1.0,0.007
PSNJ1204051,150,0.04545,0.00087,0.04502,1e-05,0.04385,1e-05,17.2011,0.1944,36.4541,0.196266,-9.0,0,1,0.035848,0.036042,1.28783,0.2333,17.1026,0.0429148,0.00258792,0.00010229,-0.000430174,-1.78793e-06,-3.04548e-06,181.021,14.0681,-999,-999,-9.0,-123.442,250,0.0270148,10.0939,0.002,57170.3,0.4117,8,14.7588,0.0640083,0.0904,0.0425,-0.0717,0.001,1.0,0.008
2005hc,64,0.04575,0.00087,0.04496,2e-05,0.04592,2e-05,17.2104,0.171419,36.4634,0.173532,-9.0,0,1,-0.026552,0.027774,0.42521,0.11499,17.1229,0.0342991,0.00253993,8.02382e-05,-0.000112077,-5.0524e-07,-1.81734e-06,29.1998,-0.2137,-999,-999,-9.0,-228.691,250,0.0281406,7.0,0.161,53668.3,0.136,54,75.9344,0.0261784,0.0649,0.0422,0.005,0.004,1.0,0.008
2005hc,5,0.04575,0.00087,0.04496,2e-05,0.04592,2e-05,17.2609,0.149515,36.5139,0.151933,-9.0,0,1,-0.058108,0.022165,0.7928,0.038244,17.0338,0.0272435,0.00275724,6.91851e-05,-0.00018788,3.18462e-07,-1.11702e-06,29.1998,-0.2137,-999,-999,-9.0,-228.691,250,0.0281406,7.0,0.14,53668.2,0.0543,60,56.1364,0.61765,0.0538,0.0422,0.0172,0.004,1.0,0.006
