CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
PS16ccn,150,0.02457,0.00087,0.02395,0.00016,0.02431,0.00016,15.9254,0.187175,35.1784,0.189112,-9.0,0,1,-0.125246,0.035357,0.37785,0.11105,15.6057,0.0558374,0.0102734,0.000528342,-0.000445957,1.62543e-06,-1.54172e-05,273.122,31.2799,-999,-999,-9.0,-183.015,250,0.0577757,7.58621,0.013,57508.6,0.2459,18,41.8436,0.00116288,0.075,0.0778,0.0709,0.001,1.0,0.004
ASASSN-16hz,150,0.02466,0.00087,0.02406,0.00015,0.02531,0.00015,15.5582,0.316446,34.8112,0.317595,-9.0,0,1,0.09128,0.034225,-0.271228,0.12153,15.9978,0.0471584,0.00715947,0.000310968,-0.000462661,5.51552e-06,-8.66567e-06,348.94,-1.3396,-999,-999,-9.0,-175.764,250,0.0311734,9.55271,0.002,57605.3,0.4073,8,8.6616,0.37164,0.0761,0.0775,0.0649,0.003,1.0,0.032
2003he,57,0.02491,0.00087,0.02404,0.00015,0.02526,0.00015,15.8332,0.239027,35.0862,0.240547,-9.0,0,1,0.032819,0.019746,0.33862,0.046096,15.9552,0.0303613,0.00744594,0.000208216,-0.000124393,4.40099e-07,-3.17671e-06,359.738,-2.2481,-999,-999,-9.0,-252.988,250,0.033686,7.0,-9.0,52876.9,0.0546,66,124.354,1.87702e-05,0.0439,0.0768,0.0181,0.003,1.0,0.019
2001cj,57,0.02494,0.00085,0.02491,2e-05,0.02409,2e-05,15.9443,0.226892,35.1973,0.228493,-9.0,0,1,-0.128297,0.040956,0.71544,0.10931,15.5679,0.0319093,0.010637,0.000312616,-0.000663218,1.00222e-06,-1.04672e-05,200.437,31.2468,-999,-999,-9.0,-9.2981,250,0.0120998,7.0,-9.0,52066.3,0.1175,40,34.7165,0.70659,0.1062,0.0749,0.0735,0.003,1.0,0.005
Gaia16agf,150,0.02509,0.00086,0.02553,2e-05,0.02507,2e-05,15.9622,0.267166,35.2152,0.268527,-9.0,0,1,0.037954,0.034382,1.3638,0.14605,15.9737,0.0527444,0.00732001,0.000355602,3.02931e-05,-7.00554e-06,-9.666e-06,98.5373,-25.1846,-999,-999,-9.0,130.452,250,0.0571243,8.65931,0.1,57455.9,0.1672,10,13.7941,0.18259,0.0772,0.0754,0.043,0.002,1.0,0.02
2007cq,56,0.0251,0.00086,0.02481,8e-05,0.02604,8e-05,15.5839,0.286774,34.8369,0.288042,-9.0,0,1,-0.006157,0.054416,-0.13142,0.34467,15.6483,0.0724473,0.0098779,0.000659117,0.00135261,-2.60199e-05,-2.30628e-05,333.668,5.0803,-999,-999,-9.0,-83.9674,250,0.0934993,9.36898,0.004,54280.8,0.395,20,9.70671,0.97318,0.1417,0.0753,0.0117,0.002,1.0,0.012
2007cq,64,0.0251,0.00086,0.02481,8e-05,0.02604,8e-05,15.5952,0.179903,34.8482,0.181918,-9.0,0,1,-0.061404,0.029805,-0.689247,0.11692,15.5833,0.0661008,0.0104877,0.0006385,2.94163e-05,-1.10993e-06,-1.57203e-05,333.668,5.0803,-999,-999,-9.0,-83.9674,250,0.0934993,9.36898,0.139,54281.0,0.0706,33,54.2139,0.0114048,0.0557,0.0753,0.0239,0.002,1.0,0.006
2003it,63,0.0251,0.00085,0.02413,1e-05,0.02528,1e-05,15.826,0.204219,35.079,0.205996,-9.0,0,1,0.026245,0.032674,-1.5665,0.16037,16.1328,0.0517252,0.00632246,0.000301206,-9.66099e-05,-4.79265e-06,-7.6375e-06,1.452,27.4527,-999,-999,-9.0,-284.915,250,0.0608018,10.4235,0.026,52935.1,0.3436,8,7.47616,0.48623,0.0753,0.0744,-0.0579,0.001,1.0,0.008
2007cq,57,0.0251,0.00086,0.02481,8e-05,0.02604,8e-05,15.756,0.174816,35.009,0.176889,-9.0,0,1,-0.113141,0.029985,-0.3274,0.066198,15.5662,0.0661209,0.0106538,0.000648811,-0.000388668,5.42518e-06,-1.62861e-05,333.668,5.0803,-999,-999,-9.0,-83.9674,250,0.0934993,9.36898,-9.0,54281.1,0.077,43,48.5473,0.25931,0.0547,0.0753,0.0594,0.002,1.0,0.005
2011dn,56,0.02513,0.00085,0.02443,2e-05,0.02527,2e-05,15.2053,0.332169,34.4583,0.333265,-9.0,0,1,0.0523,0.058411,0.21601,0.27569,15.4132,0.10542,0.0122659,0.00119101,0.0013975,-4.50803e-05,-4.56953e-05,299.648,2.6045,-999,-999,-9.0,-205.825,250,0.15109,9.15925,0.013,55745.1,0.2025,22,24.8286,0.30534,0.1424,0.0744,0.0257,0.004,1.0,0.023
