gamma,f,A,delta_chi2
1.4,2.57,0.9400000000000001,21.65000000000004
1.4,2.57,0.9600000000000001,21.250000000000043
1.4,2.57,0.9800000000000001,21.01000000000004
1.4,2.57,1.0,20.930000000000042
1.4,2.57,1.02,21.010000000000044
1.4,2.57,1.04,21.250000000000043
1.4,2.57,1.06,21.650000000000045
1.4,2.57,1.08,22.210000000000043
1.4,2.57,1.1,22.930000000000046
1.4,2.58,0.9,22.680000000000035
1.4,2.58,0.92,21.960000000000033
1.4,2.58,0.9400000000000001,21.400000000000034
1.4,2.58,0.9600000000000001,21.000000000000036
1.4,2.58,0.9800000000000001,20.760000000000034
1.4,2.58,1.0,20.680000000000035
1.4,2.58,1.02,20.760000000000037
1.4,2.58,1.04,21.000000000000036
1.4,2.58,1.06,21.400000000000038
1.4,2.58,1.08,21.960000000000036
1.4,2.58,1.1,22.68000000000004
1.4,2.59,0.9,22.530000000000037
1.4,2.59,0.92,21.810000000000034
1.4,2.59,0.9400000000000001,21.250000000000036
1.4,2.59,0.9600000000000001,20.850000000000037
1.4,2.59,0.9800000000000001,20.610000000000035
1.4,2.59,1.0,20.530000000000037
1.4,2.59,1.02,20.61000000000004
1.4,2.59,1.04,20.850000000000037
1.4,2.59,1.06,21.25000000000004
1.4,2.59,1.08,21.810000000000038
1.4,2.59,1.1,22.53000000000004
1.4,2.5999999999999996,0.9,22.480000000000036
1.4,2.5999999999999996,0.92,21.760000000000034
1.4,2.5999999999999996,0.9400000000000001,21.200000000000035
1.4,2.5999999999999996,0.9600000000000001,20.800000000000036
1.4,2.5999999999999996,0.9800000000000001,20.560000000000034
1.4,2.5999999999999996,1.0,20.480000000000036
1.4,2.5999999999999996,1.02,20.560000000000038
1.4,2.5999999999999996,1.04,20.800000000000036
1.4,2.5999999999999996,1.06,21.20000000000004
1.4,2.5999999999999996,1.08,21.760000000000037
1.4,2.5999999999999996,1.1,22.48000000000004
1.4,2.61,0.9,22.530000000000033
1.4,2.61,0.92,21.81000000000003
1.4,2.61,0.9400000000000001,21.250000000000032
1.4,2.61,0.9600000000000001,20.850000000000033
1.4,2.61,0.9800000000000001,20.61000000000003
1.4,2.61,1.0,20.530000000000033
1.4,2.61,1.02,20.610000000000035
1.4,2.61,1.04,20.850000000000033
1.4,2.61,1.06,21.250000000000036
1.4,2.61,1.08,21.810000000000034
1.4,2.61,1.1,22.530000000000037
1.4,2.62,0.9,22.680000000000035
1.4,2.62,0.92,21.960000000000033
1.4,2.62,0.9400000000000001,21.400000000000034
1.4,2.62,0.9600000000000001,21.000000000000036
1.4,2.62,0.9800000000000001,20.760000000000034
1.4,2.62,1.0,20.680000000000035
1.4,2.62,1.02,20.760000000000037
1.4,2.62,1.04,21.000000000000036
1.4,2.62,1.06,21.400000000000038
1.4,2.62,1.08,21.960000000000036
1.4,2.62,1.1,22.68000000000004
1.4,2.63,0.9,22.93000000000003
1.4,2.63,0.92,22.21000000000003
1.4,2.63,0.9400000000000001,21.65000000000003
1.4,2.63,0.9600000000000001,21.250000000000032
1.4,2.63,0.9800000000000001,21.01000000000003
1.4,2.63,1.0,20.93000000000003
1.4,2.63,1.02,21.010000000000034
1.4,2.63,1.04,21.250000000000032
1.4,2.63,1.06,21.650000000000034
1.4,2.63,1.08,22.210000000000033
1.4,2.63,1.1,22.930000000000035
1.4,2.6399999999999997,0.9,23.28000000000002
1.4,2.6399999999999997,0.92,22.560000000000016
1.4,2.6399999999999997,0.9400000000000001,22.000000000000018
1.4,2.6399999999999997,0.9600000000000001,21.60000000000002
