N,x_resid_ln_fs8
-3.5380764318027023,-0.00021498915008785063
-3.53721285444566,-0.00021492569972684367
-3.5363492770886173,-0.00021486186555774722
-3.535485699731575,-0.0002147976480894806
-3.5346221223745324,-0.0002147330478318582
-3.53375854501749,-0.00021466806529380628
-3.5328949676604475,-0.00021460270098291184
-3.5320313903034055,-0.00021453695540633866
-3.531167812946363,-0.00021447082907078557
-3.5303042355893206,-0.0002144043224820702
-3.529440658232278,-0.00021433743614601014
-3.5285770808752357,-0.00021427017056663972
-3.5277135035181932,-0.00021420252624801406
-3.526849926161151,-0.0002141345036932793
-3.5259863488041083,-0.00021406610340558851
-3.5251227714470663,-0.00021399732588631842
-3.524259194090024,-0.0002139281716372829
-3.5233956167329814,-0.00021385864115987252
-3.522532039375939,-0.00021378873495234846
-3.5216684620188965,-0.00021371845351564334
-3.520804884661854,-0.00021364779734713013
-3.5199413073048116,-0.00021357676694642308
-3.5190777299477696,-0.00021350536281000698
-3.518214152590727,-0.00021343358543437357
-3.5173505752336847,-0.00021336143531645868
-3.516486997876642,-0.00021328891295052665
-3.5156234205195998,-0.0002132160188335272
-3.5147598431625573,-0.0002131427534579483
-3.513896265805515,-0.0002130691173171731
-3.5130326884484724,-0.00021299511090547285
-3.5121691110914304,-0.0002129207347140033
-3.511305533734388,-0.00021284598923527326
-3.5104419563773455,-0.00021277087495910618
-3.509578379020303,-0.00021269539237666474
-3.5087148016632606,-0.00021261954197733524
-3.507851224306218,-0.00021254332425049705
-3.5069876469491756,-0.0002124667396842181
-3.506124069592133,-0.00021238978876698955
-3.505260492235091,-0.00021231247198464503
-3.5043969148780487,-0.00021223478982568267
-3.5035333375210063,-0.00021215674277415275
-3.502669760163964,-0.00021207833131590276
-3.5018061828069214,-0.00021199955593498299
-3.500942605449879,-0.00021192041711678294
-3.5000790280928364,-0.0002118409153440276
-3.4992154507357944,-0.00021176105109854682
-3.498351873378752,-0.0002116808248639676
-3.4974882960217095,-0.00021160023712034348
-3.496624718664667,-0.00021151928834995531
-3.4957611413076246,-0.00021143797903197536
