N,x_resid_ln_fs8
-3.4810803262379038,-0.0004911755955875341
-3.4802167488808613,-0.0004907777138123959
-3.4793531715238193,-0.0004903794222281821
-3.478489594166777,-0.0004899807213926619
-3.4776260168097344,-0.0004895816118614046
-3.476762439452692,-0.0004891820941908473
-3.4758988620956495,-0.0004887821689338739
-3.475035284738607,-0.0004883818366460541
-3.4741717073815646,-0.0004879810978802718
-3.473308130024522,-0.00048757995318896713
-3.47244455266748,-0.0004871784031241569
-3.4715809753104376,-0.0004867764482369488
-3.470717397953395,-0.00048637408907801355
-3.4698538205963527,-0.0004859713261966825
-3.4689902432393103,-0.00048556816014186377
-3.468126665882268,-0.00048516459146244473
-3.4672630885252254,-0.0004847606207055363
-3.4663995111681833,-0.00048435624841782626
-3.465535933811141,-0.0004839514751459814
-3.4646723564540984,-0.0004835463014344482
-3.463808779097056,-0.0004831407278285821
-3.4629452017400135,-0.0004827347548723854
-3.462081624382971,-0.0004823283831085351
-3.4612180470259286,-0.0004819216130810336
-3.460354469668886,-0.0004815144453303513
-3.459490892311844,-0.00048110688039871424
-3.4586273149548017,-0.00048069891882479565
-3.4577637375977592,-0.00048029056115039825
-3.456900160240717,-0.00047988180791330715
-3.4560365828836743,-0.0004794726596521956
-3.455173005526632,-0.0004790631169048695
-3.4543094281695894,-0.00047865318020778175
-3.453445850812547,-0.0004782428500978292
-3.452582273455505,-0.0004778321271101532
-3.4517186960984625,-0.0004774210117798744
-3.45085511874142,-0.00047700950464078795
-3.4499915413843776,-0.0004765976062262381
-3.449127964027335,-0.00047618531706870165
-3.4482643866702927,-0.00047577263770196693
-3.44740080931325,-0.0004753595686558254
-3.446537231956208,-0.0004749461104605335
-3.4456736545991657,-0.0004745322636481031
-3.4448100772421233,-0.00047411802874566117
-3.443946499885081,-0.00047370340628302005
-3.4430829225280384,-0.00047328839678775075
-3.442219345170996,-0.00047287300078698025
-3.4413557678139535,-0.0004724572188074122
-3.440492190456911,-0.0004720410513752854
-3.439628613099869,-0.000471624499014181
-3.4387650357428265,-0.000471207562251226
-3.437901458385784,-0.00047079024160823907
-3.4370378810287416,-0.00047037253760835035
