omega0,Q,alpha,kind,A,dA_over_A
0.35,0.5,0.2,boost,0.01141093358329843,0.07257523354475132
0.3833333333333333,0.3,0.04,boost,0.010876073245376002,0.022300823683963574
0.3833333333333333,0.3,0.06666666666666667,boost,0.011034242860555071,0.03716803947327279
0.3833333333333333,0.3,0.09333333333333334,boost,0.011192412475734142,0.05203525526258217
0.3833333333333333,0.3,0.12,boost,0.011350582090913209,0.06690247105189122
0.3833333333333333,0.3,0.14666666666666667,boost,0.011508751706092278,0.08176968684120042
0.3833333333333333,0.3,0.17333333333333334,boost,0.011666921321271345,0.09663690263050947
0.3833333333333333,0.3,0.2,boost,0.011825090936450415,0.11150411841981885
0.3833333333333333,0.3333333333333333,0.04,boost,0.010862009426877154,0.02097888947929764
0.3833333333333333,0.3333333333333333,0.06666666666666667,boost,0.011010803163056991,0.03496481579882962
0.3833333333333333,0.3333333333333333,0.09333333333333334,boost,0.011159596899236828,0.0489507421183616
0.3833333333333333,0.3333333333333333,0.12,boost,0.011308390635416663,0.06293666843789342
0.3833333333333333,0.3333333333333333,0.14666666666666667,boost,0.0114571843715965,0.07692259475742538
0.3833333333333333,0.3333333333333333,0.17333333333333334,boost,0.011605978107776334,0.09090852107695704
0.3833333333333333,0.3333333333333333,0.2,boost,0.011754771843956173,0.10489444739648918
0.3833333333333333,0.36666666666666664,0.04,boost,0.010849478808440206,0.019801069023297375
0.3833333333333333,0.36666666666666664,0.06666666666666667,boost,0.010989918798995411,0.03300178170549579
0.3833333333333333,0.36666666666666664,0.09333333333333334,boost,0.011130358789550612,0.046202494387693874
0.3833333333333333,0.36666666666666664,0.12,boost,0.011270798780105817,0.059403207069892286
0.3833333333333333,0.36666666666666664,0.14666666666666667,boost,0.011411238770661018,0.07260391975209038
0.3833333333333333,0.36666666666666664,0.17333333333333334,boost,0.011551678761216223,0.08580463243428879
0.3833333333333333,0.36666666666666664,0.2,boost,0.011692118751771426,0.09900534511648704
0.3833333333333333,0.4,0.04,boost,0.010838261638222586,0.018746706654254677
0.3833333333333333,0.4,0.06666666666666667,boost,0.010971223515299375,0.031244511090424407
0.3833333333333333,0.4,0.09333333333333334,boost,0.011104185392376164,0.04374231552659414
0.3833333333333333,0.4,0.12,boost,0.011237147269452952,0.05624011996276387
0.3833333333333333,0.4,0.14666666666666667,boost,0.011370109146529743,0.06873792439893377
0.3833333333333333,0.4,0.17333333333333334,boost,0.011503071023606532,0.0812357288351035
0.3833333333333333,0.4,0.2,boost,0.011636032900683322,0.09373353327127339
0.3833333333333333,0.43333333333333335,0.04,boost,0.01082817221680632,0.0177983474816343
0.3833333333333333,0.43333333333333335,0.06666666666666667,boost,0.01095440781293893,0.029663912469390392
0.3833333333333333,0.43333333333333335,0.09333333333333334,boost,0.011080643409071543,0.04152947745714665
0.3833333333333333,0.43333333333333335,0.12,boost,0.011206879005204153,0.05339504244490258
0.3833333333333333,0.43333333333333335,0.14666666666666667,boost,0.011333114601336765,0.06526060743265882
0.3833333333333333,0.43333333333333335,0.17333333333333334,boost,0.011459350197469378,0.07712617242041508
0.3833333333333333,0.43333333333333335,0.2,boost,0.011585585793601989,0.08899173740817118
0.3833333333333333,0.4666666666666667,0.04,boost,0.010819054769581192,0.016941349409089496
0.3833333333333333,0.4666666666666667,0.06666666666666667,boost,0.010939212067563722,0.02823558234848282
0.3833333333333333,0.4666666666666667,0.09333333333333334,boost,0.011059369365546249,0.039529815287875816
0.3833333333333333,0.4666666666666667,0.12,boost,0.011179526663528777,0.05082404822726898
0.3833333333333333,0.4666666666666667,0.14666666666666667,boost,0.011299683961511306,0.06211828116666214
