M_Msun_hinv,sigma_LCDM,sigma_RES,dn_dlnM_LCDM_Mpch3,dn_dlnM_RES_Mpch3
812267350047.9703,0.001826147720051897,0.0010506637965097831,,
857255673190.9307,0.0018116479504412608,0.001046074711719842,,
904735724234.9275,0.0017971973004606262,0.001041426551083286,,
954845510278.2263,0.0017827969370394184,0.001036721980020861,,
1007730682094.4576,0.0017684482389443926,0.0010319638995998626,,
1063544957486.0112,0.0017541525124741288,0.0010271554524415524,,
1122450568085.306,0.0017399107256983206,0.0010223000277997398,,
1184618730902.6824,0.001725723327773692,0.0010174012656111698,,
1250230145991.4534,0.0017115902024764484,0.0010124630592903386,,
1319475521676.7087,0.0016975107724957535,0.001007489557012229,,
1392556128874.4646,0.0016834842302730815,0.0010024851611970147,,
1469684386112.4475,0.001669509833075187,0.0009974545258819988,,
1551084476952.8403,0.0016555871765876226,0.0009924025516393322,,
1636993001611.702,0.0016417163621667648,0.0009873343776749704,,
1727659664669.0347,0.0016278980012561783,0.000982255370726806,,
1823348000868.4385,0.0016141330507532504,0.0009771711103702897,,
1924336141115.976,0.0016004225308474574,0.0009720873703404923,,
2030917620904.7305,0.0015867672221489988,0.0009670100954933413,,
2143402233514.8503,0.0015731674529497683,0.0009619453740583313,,
2262116930469.017,0.0015596230602423888,0.0009568994048833415,,
2387406771860.647,0.0015461335447248315,0.0009518784594416888,,
2519635929317.013,0.0015326983617280898,0.0009468888384644669,,
2659188744512.691,0.0015193172285177285,0.0009419368231789509,,
2806470846309.833,0.001505990313592294,0.0009370286212768573,,
2961910329772.5596,0.0014927182188589762,0.0009321703079036442,,
3125959000482.2847,0.0014795017576774436,0.0009273677621494701,,
3299093687770.9424,0.001466341631657492,0.0009226265997295106,,
3481817630688.9663,0.0014532381666694837,0.0009179521027598873,,
3674661940736.688,0.0014401912473917488,0.0009133491477570107,,
3878187145610.7197,0.0014272004906306878,0.0009088221332024242,,
4092984818452.4336,0.0014142655661715715,0.0009043749082101953,,
4319679297334.165,0.0014013864828352003,0.000900010703996321,,
4558929499981.05,0.0013885636675078795,0.0008957320699658753,,
4811430839003.245,0.0013757977834553394,0.0008915408162905509,,
5077917243205.382,0.0013630893987334762,0.0008874379648352626,,
5359163290848.515,0.0013504387215782165,0.0008834237101987831,,
5655986461065.002,0.001337845585890629,0.0008794973924550483,,
5969249509970.727,0.0013253097022321676,0.0008756574829188294,,
6299862978380.681,0.001312830995193933,0.0008719015839175594,,
6648787838417.276,0.0013004097724790943,0.0008682264431417549,,
7017038286703.836,0.0012880465897320327,0.000864627982687011,,
7405684692262.441,0.0012757419154367827,0.0008611013424131075,,
7815856707684.091,0.001263495873794052,0.0008576409367561637,,
8248746552614.581,0.001251308290008363,0.0008542405236654419,,
8705612479099.856,0.0012391790021173224,0.0008508932839244506,,
9187782428863.32,0.001227108154305251,0.000847591908780717,,
9696657893145.5,0.001215096190515551,0.0008443286935694725,,
10233717986325.17,0.0012031435506669515,0.0008410956348863109,,
10800523745162.496,0.0011912503762016424,0.0008378845288476135,,
11398722666160.479,0.00117941653583009,0.0008346870680719708,,
12030053494233.242,0.0011676419467881874,0.0008314949352099359,,
12696351276599.729,0.001155926832947986,0.0008282998911256133,,
13399552696593.371,0.0011442716194230381,0.0008250938561695394,,
14141701702890.209,0.0011326765872521221,0.0008218689833532377,,
14924955450518.32,0.0011211417137458903,0.00081861772261687,,
15751590570916.244,0.001109666903189258,0.0008153328757497599,,
16624009789266.135,0.001098252305756663,0.0008120076418602734,,
17544748908334.598,0.0010868982919116739,0.0008086356535826909,,
18516484179121.54,0.0010756051175858069,0.0008052110044457819,,
19542040079740.516,0.0010643727631820202,0.0008017282680076547,,
20624397525140.883,0.0010532011855507663,0.0007981825094855501,,
21766702531534.547,0.0010420905956635544,0.0007945692906825057,,
22972275360711.465,0.0010310413235638343,0.0007908846690426049,,
24244620170823.207,0.0010200534925314836,0.0007871251916612693,,
25587435201685.79,0.0010091270491853165,0.0007832878850453623,,
27004623524206.82,0.0009982620942857983,0.0007793702413677549,,
28500304385181.05,0.0009874589244428427,0.0007753702018993195,,
30078825180430.957,0.0009767177124166723,0.0007712861382336878,,
31744774091091.867,0.0009660384309351218,0.0007671168318507518,,
33502993419772.363,0.0009554211626650904,0.0007628614524968672,,
35358593665351.83,0.0009448661746615841,0.0007585195357950602,,
37316968377327.555,0.0009343736107791878,0.0007540909604384741,,
39383809832884.89,0.0009239434541547139,0.000749575925265479,,
41565125582259.875,0.000913575833078065,0.0007449749264655059,,
43867255910484.94,0.0009032709865804478,0.0007402887351207345,,
46296892266272.58,0.0008930289782067906,0.000735518375250024,,
48861096711603.16,0.000882849829633972,0.0007306651024875843,,
51567322448549.53,0.0008727337410896231,0.0007257303834994856,,
54423435483002.49,0.0008626808588876798,0.0007207158762157553,,
57437737488265.63,0.0008526911887701944,0.0007156234109341447,,
60618989934975.72,0.0008427648689376239,0.000710454972333234,,
63976439557484.234,0.0008329020726382442,0.000705212682417039,,
67519845230724.945,0.0008231028200581804,0.0006998987844003219,,
71259506335683.97,0.0008133672169229072,0.000694515627533095,,
75206292695924.22,0.000803695429573564,0.0006890656528540173,,
79371676172175.6,0.0007940874848229708,0.0006835513798553026,,
83767764006829.23,0.0007845434860827772,0.0006779753940361115,,
88407334015250.62,0.0007750635765780879,0.0006723403353170114,,
93303871726203.6,0.0007656477806804582,0.0006666488872847502,,
98471609579337.64,0.0007562962184964869,0.000660903767234164,,
103925568293671.1,0.0007470089924867957,0.0006551077169723584,,
109681600527313.56,0.000737786136222621,0.0006492634943492716,,
