a,D_LCDM,D_visc_k0_k=0.050000hMpc,D_visc_k1_k=0.240000hMpc,D_visc_k2_k=0.430000hMpc,D_visc_k3_k=0.620000hMpc,D_visc_k4_k=0.810000hMpc,D_visc_k5_k=1.000000hMpc
5.50000000e-01,6.63612466e-01,6.65162629e-01,6.97080412e-01,7.55071145e-01,8.14345595e-01,8.61476301e-01,8.95523059e-01
5.55000000e-01,6.68638697e-01,6.70168350e-01,7.01654398e-01,7.58825273e-01,8.17224884e-01,8.63640625e-01,8.97162313e-01
5.60000000e-01,6.73636080e-01,6.75145233e-01,7.06200189e-01,7.62553947e-01,8.20083202e-01,8.65788445e-01,8.98788703e-01
5.65000000e-01,6.78604470e-01,6.80093138e-01,7.10717716e-01,7.66257187e-01,8.22920614e-01,8.67919834e-01,9.00402298e-01
5.70000000e-01,6.83543729e-01,6.85011931e-01,7.15206914e-01,7.69935012e-01,8.25737185e-01,8.70034868e-01,9.02003171e-01
5.75000000e-01,6.88453728e-01,6.89901488e-01,7.19667723e-01,7.73587447e-01,8.28532978e-01,8.72133622e-01,9.03591391e-01
5.80000000e-01,6.93334347e-01,6.94761689e-01,7.24100091e-01,7.77214519e-01,8.31308062e-01,8.74216170e-01,9.05167029e-01
5.85000000e-01,6.98185471e-01,6.99592425e-01,7.28503970e-01,7.80816259e-01,8.34062504e-01,8.76282589e-01,9.06730155e-01
5.90000000e-01,7.03006995e-01,7.04393595e-01,7.32879320e-01,7.84392699e-01,8.36796374e-01,8.78332954e-01,9.08280840e-01
5.95000000e-01,7.07798821e-01,7.09165102e-01,7.37226103e-01,7.87943876e-01,8.39509743e-01,8.80367342e-01,9.09819154e-01
6.00000000e-01,7.12560859e-01,7.13906861e-01,7.41544291e-01,7.91469829e-01,8.42202682e-01,8.82385830e-01,9.11345167e-01
6.05000000e-01,7.17293025e-01,7.18618791e-01,7.45833859e-01,7.94970602e-01,8.44875265e-01,8.84388496e-01,9.12858950e-01
6.10000000e-01,7.21995244e-01,7.23300820e-01,7.50094788e-01,7.98446241e-01,8.47527567e-01,8.86375418e-01,9.14360573e-01
6.15000000e-01,7.26667449e-01,7.27952883e-01,7.54327066e-01,8.01896793e-01,8.50159666e-01,8.88346674e-01,9.15850108e-01
6.20000000e-01,7.31309579e-01,7.32574923e-01,7.58530686e-01,8.05322313e-01,8.52771637e-01,8.90302343e-01,9.17327625e-01
6.25000000e-01,7.35921582e-01,7.37166889e-01,7.62705645e-01,8.08722854e-01,8.55363562e-01,8.92242506e-01,9.18793194e-01
6.30000000e-01,7.40503411e-01,7.41728739e-01,7.66851948e-01,8.12098477e-01,8.57935521e-01,8.94167241e-01,9.20246888e-01
6.35000000e-01,7.45055028e-01,7.46260436e-01,7.70969603e-01,8.15449241e-01,8.60487596e-01,8.96076632e-01,9.21688777e-01
6.40000000e-01,7.49576401e-01,7.50761952e-01,7.75058625e-01,8.18775212e-01,8.63019871e-01,8.97970758e-01,9.23118933e-01
6.45000000e-01,7.54067506e-01,7.55233263e-01,7.79119035e-01,8.22076457e-01,8.65532432e-01,8.99849702e-01,9.24537427e-01
6.50000000e-01,7.58528325e-01,7.59674356e-01,7.83150856e-01,8.25353048e-01,8.68025364e-01,9.01713546e-01,9.25944331e-01
6.55000000e-01,7.62958848e-01,7.64085221e-01,7.87154120e-01,8.28605057e-01,8.70498756e-01,9.03562375e-01,9.27339718e-01
6.60000000e-01,7.67359069e-01,7.68465856e-01,7.91128862e-01,8.31832561e-01,8.72952697e-01,9.05396271e-01,9.28723659e-01
