tau,omega,sigma_ratio_1e9,sigma_ratio_1e10,sigma_ratio_1e11,score
0.08652173913043479,0.12,0.5997751567379283,0.7331115119040282,0.8715687189515545,3.520296960439521
0.06521739130434782,0.18608695652173912,0.598335798899804,0.7319391756417903,0.8714879862757205,3.526150601139144
0.07434782608695652,0.1617391304347826,0.5990041942534171,0.7324616363407004,0.871448493253521,3.5311537677130462
0.06826086956521739,0.1791304347826087,0.5982627149624988,0.7317920157568335,0.8712225467730547,3.5526511753002907
0.08043478260869565,0.1443478260869565,0.5988392172061258,0.7321806371956704,0.8710249768780454,3.573355486999538
0.08347826086956522,0.13391304347826086,0.5989714868033142,0.7322810313244538,0.8710145807055967,3.5746028478179683
0.07130434782608695,0.17217391304347826,0.5980353262982294,0.7314819664767179,0.8708487919615406,3.5897691106971004
0.07739130434782608,0.1547826086956522,0.5984028278911167,0.7317603648640465,0.8708111114874879,3.594118378803416
0.08652173913043479,0.12347826086956522,0.5988085176282049,0.7320704944497121,0.8707842222929908,3.5974435232974304
0.07434782608695652,0.16521739130434782,0.5976564823284196,0.7310134965215562,0.8703692672347574,3.637254572800394
0.06217391304347826,0.1965217391304348,0.5966055674007933,0.7301424405772846,0.8703244983296634,3.6400931936737217
0.06521739130434782,0.18956521739130436,0.5967551359049131,0.7302373908417372,0.870225167644645,3.650291961207312
0.08347826086956522,0.1373913043478261,0.5978879834602673,0.7311144528277859,0.8701368425665308,3.6609154225033755
0.08043478260869565,0.14782608695652175,0.5976606962496925,0.7309126807861331,0.8700738508889732,3.666877558458186
0.06826086956521739,0.1826086956521739,0.5967529555766307,0.7301677753108005,0.8700150325744436,3.6713596245626148
0.08652173913043479,0.12695652173913044,0.5978204785791243,0.7310054313099085,0.8699796772299818,3.6765667188828894
0.07739130434782608,0.1582608695652174,0.5971307425725597,0.7303919609406366,0.8697866270981742,3.694849091864498
0.07130434782608695,0.1756521739130435,0.5965984057791964,0.7299361731155568,0.869696393416394,3.703066188612487
0.07434782608695652,0.16869565217391305,0.5962934796420991,0.7295464946967058,0.8692716977451062,3.745170402546627
0.08347826086956522,0.1408695652173913,0.5967847149636925,0.7299252665033028,0.8692395840498343,3.749154204507664
0.08652173913043479,0.13043478260869565,0.5968115269574988,0.729916774811929,0.869155277744261,3.7576478560276163
0.08043478260869565,0.15130434782608695,0.5964638324305409,0.7296233314810381,0.8691036111878472,3.7622872400886282
0.06217391304347826,0.2,0.594950590575697,0.7283529730875422,0.8689899265761792,3.771310050830965
0.06521739130434782,0.19304347826086957,0.5951655905414994,0.7285219361257399,0.8689454778014567,3.776110426783121
0.08956521739130435,0.12,0.5965536659672889,0.7296071291458148,0.8688550815676137,3.787342958824184
0.06826086956521739,0.18608695652173912,0.5952321334644469,0.7285281389483543,0.8687901979588449,3.791786935864381
0.07739130434782608,0.1617391304347826,0.5958420368273197,0.7290036272775858,0.8687435118916775,3.79742163080804
0.07130434782608695,0.1791304347826087,0.5951485338115629,0.7283734798133645,0.8685262763588777,3.818119195613712
0.08347826086956522,0.1443478260869565,0.5956622335451102,0.7287139843177122,0.868323023478263,3.8392981630020837
0.08652173913043479,0.13391304347826086,0.595782158553388,0.7288049859074525,0.8683112223892112,3.84066779857288
0.07434782608695652,0.17217391304347826,0.5949159030674431,0.7280612926862531,0.8681560600841584,3.854874769489908
0.08043478260869565,0.1547826086956522,0.595249234901338,0.7283131530090079,0.8681144962111906,3.859561572782987
0.08956521739130435,0.12347826086956522,0.5956175172480608,0.7285947148582691,0.8680832695794741,3.863265224911702
0.07739130434782608,0.16521739130434782,0.5945373760439356,0.727595979406768,0.8676820246824187,3.9018110810455933
0.06521739130434782,0.1965217391304348,0.5935680263270858,0.7267936154842553,0.8676492473198457,3.903574201521572
0.06826086956521739,0.18956521739130436,0.5937010663990689,0.7268738651997677,0.8675483561320586,3.9139029807670185
0.08652173913043479,0.1373913043478261,0.5947328771940287,0.7276705338697762,0.8674477142244124,3.925606971349432
0.08347826086956522,0.14782608695652175,0.594521098470847,0.7274811258729298,0.8673873835917086,3.9313258356151817
0.07130434782608695,0.1826086956521739,0.5936864796307357,0.7267945990270417,0.8673387369102182,3.9348996394727345
0.08956521739130435,0.12695652173913044,0.5946604481068102,0.7275587634650468,0.8672917010519661,3.9411356268097553
0.08043478260869565,0.1582608695652174,0.5940175185285458,0.7269827158340653,0.8671067486945248,3.9586771758126558
0.07434782608695652,0.1756521739130435,0.5935244720112012,0.7265585569650639,0.8670226336142922,3.966340783650381
0.07739130434782608,0.16869565217391305,0.5932174296330017,0.7261696384507116,0.8666024284338947,4.007992118942087
0.08652173913043479,0.1408695652173913,0.5936641943518961,0.7265138959857129,0.8665649607486438,4.012445366303201
0.08956521739130435,0.13043478260869565,0.5936829164361703,0.7264997035702917,0.8664805642592359,4.020936000882167
0.08347826086956522,0.15130434782608695,0.5933618755935983,0.726227218055566,0.8664328914725312,4.025215335243109
0.06521739130434782,0.2,0.5919633016369351,0.7250532326814049,0.8663368103213037,4.032651127222897
0.06826086956521739,0.19304347826086957,0.5921605698214575,0.7252057141101016,0.8662898240114469,4.037677256548113
0.09260869565217392,0.12,0.5934269965965372,0.7261934917546999,0.8661839657985507,4.050273878070481
0.07130434782608695,0.18608695652173912,0.5922130124680149,0.7252002461806574,0.8661340750413942,4.053378643134363
0.08043478260869565,0.1617391304347826,0.5927693033846745,0.7256325967603015,0.8660806155896742,4.059610254354631
0.07434782608695652,0.1791304347826087,0.5921199077850459,0.725038958175404,0.8658717016624352,4.079541161433092
0.08652173913043479,0.1443478260869565,0.59257662874725,0.7253355572423578,0.865663173831361,4.101162548765118
0.08956521739130435,0.13391304347826086,0.5926853882132287,0.7254179720595034,0.8656500519232844,4.102647750364804
0.07739130434782608,0.17217391304347826,0.5918828704587575,0.7247252306806222,0.8655049901676171,4.115939020089681
0.08347826086956522,0.1547826086956522,0.592185136899401,0.7249527946817256,0.8654597784693614,4.120944357005791
0.09260869565217392,0.12347826086956522,0.5925195583682281,0.7252082262097037,0.8654244713298509,4.125005948065008
0.08043478260869565,0.16521739130434782,0.5915052142373196,0.7242633785325285,0.8650363479805515,4.162336607164665
0.06826086956521739,0.1965217391304348,0.5906114560944244,0.7235244466548889,0.8650149221109301,4.163078896604372
