tau,omega,supp_1e9,supp_1e10,supp_1e11
0.95,0.4266666666666667,,,
0.95,0.44833333333333336,,,
0.95,0.47000000000000003,,,
0.95,0.4916666666666667,,,
0.95,0.5133333333333333,,,
0.95,0.535,,,
0.95,0.5566666666666666,,,
0.95,0.5783333333333334,,,
0.95,0.6,,,
0.9999999999999999,0.08,,,
0.9999999999999999,0.10166666666666667,,,
0.9999999999999999,0.12333333333333334,,,
0.9999999999999999,0.14500000000000002,,,
0.9999999999999999,0.16666666666666669,,,
0.9999999999999999,0.18833333333333335,,,
0.9999999999999999,0.21000000000000002,,,
0.9999999999999999,0.2316666666666667,,,
0.9999999999999999,0.25333333333333335,,,
0.9999999999999999,0.275,,,
0.9999999999999999,0.2966666666666667,,,
0.9999999999999999,0.31833333333333336,,,
0.9999999999999999,0.34,,,
0.9999999999999999,0.3616666666666667,,,
0.9999999999999999,0.38333333333333336,,,
0.9999999999999999,0.405,,,
0.9999999999999999,0.4266666666666667,,,
0.9999999999999999,0.44833333333333336,,,
0.9999999999999999,0.47000000000000003,,,
0.9999999999999999,0.4916666666666667,,,
0.9999999999999999,0.5133333333333333,,,
0.9999999999999999,0.535,,,
0.9999999999999999,0.5566666666666666,,,
0.9999999999999999,0.5783333333333334,,,
0.9999999999999999,0.6,,,
1.0499999999999998,0.08,,,
1.0499999999999998,0.10166666666666667,,,
1.0499999999999998,0.12333333333333334,,,
1.0499999999999998,0.14500000000000002,,,
1.0499999999999998,0.16666666666666669,,,
1.0499999999999998,0.18833333333333335,,,
1.0499999999999998,0.21000000000000002,,,
1.0499999999999998,0.2316666666666667,,,
1.0499999999999998,0.25333333333333335,,,
1.0499999999999998,0.275,,,
1.0499999999999998,0.2966666666666667,,,
1.0499999999999998,0.31833333333333336,,,
1.0499999999999998,0.34,,,
1.0499999999999998,0.3616666666666667,,,
1.0499999999999998,0.38333333333333336,,,
1.0499999999999998,0.405,,,
1.0499999999999998,0.4266666666666667,,,
1.0499999999999998,0.44833333333333336,,,
1.0499999999999998,0.47000000000000003,,,
1.0499999999999998,0.4916666666666667,,,
1.0499999999999998,0.5133333333333333,,,
1.0499999999999998,0.535,,,
1.0499999999999998,0.5566666666666666,,,
1.0499999999999998,0.5783333333333334,,,
1.0499999999999998,0.6,,,
1.0999999999999999,0.08,,,
1.0999999999999999,0.10166666666666667,,,
1.0999999999999999,0.12333333333333334,,,
1.0999999999999999,0.14500000000000002,,,
1.0999999999999999,0.16666666666666669,,,
1.0999999999999999,0.18833333333333335,,,
1.0999999999999999,0.21000000000000002,,,
1.0999999999999999,0.2316666666666667,,,
1.0999999999999999,0.25333333333333335,,,
1.0999999999999999,0.275,,,
1.0999999999999999,0.2966666666666667,,,
1.0999999999999999,0.31833333333333336,,,
1.0999999999999999,0.34,,,
1.0999999999999999,0.3616666666666667,,,
1.0999999999999999,0.38333333333333336,,,
1.0999999999999999,0.405,,,
1.0999999999999999,0.4266666666666667,,,
1.0999999999999999,0.44833333333333336,,,
1.0999999999999999,0.47000000000000003,,,
1.0999999999999999,0.4916666666666667,,,
1.0999999999999999,0.5133333333333333,,,
1.0999999999999999,0.535,,,
1.0999999999999999,0.5566666666666666,,,
1.0999999999999999,0.5783333333333334,,,
1.0999999999999999,0.6,,,
1.15,0.08,,,
1.15,0.10166666666666667,,,
1.15,0.12333333333333334,,,
1.15,0.14500000000000002,,,
1.15,0.16666666666666669,,,
1.15,0.18833333333333335,,,
1.15,0.21000000000000002,,,
1.15,0.2316666666666667,,,
1.15,0.25333333333333335,,,
1.15,0.275,,,
