x_m,m_exponent,h_m
0.03636363636363636,3,1.5386927122464311e-06
0.038636363636363635,3,1.8456048084147256e-06
0.04090909090909091,3,2.190833959429001e-06
0.04318181818181818,3,2.5766341096919607e-06
0.045454545454545456,3,3.0052592036063115e-06
0.04772727272727272,3,3.478963185574755e-06
0.049999999999999996,3,3.999999999999999e-06
0.05227272727272727,3,4.5706235912847475e-06
0.05454545454545454,3,5.193087903831705e-06
0.056818181818181816,3,5.869646882043576e-06
0.05909090909090909,3,6.602554470323065e-06
0.06136363636363636,3,7.394064613072877e-06
0.06363636363636363,3,8.246431254695715e-06
0.0659090909090909,3,9.161908339594287e-06
0.06818181818181818,3,1.0142749812171296e-05
0.07045454545454545,3,1.1191209616829452e-05
0.07272727272727272,3,1.2309541697971449e-05
0.075,3,1.3499999999999998e-05
0.07727272727272727,3,1.4764838467317805e-05
0.07954545454545454,3,1.610631104432757e-05
0.08181818181818182,3,1.7526671675432007e-05
0.08409090909090909,3,1.902817430503381e-05
0.08636363636363636,3,2.0613072877535685e-05
0.08863636363636364,3,2.228362133734035e-05
0.09090909090909091,3,2.404207362885049e-05
0.09318181818181817,3,2.5890683696468812e-05
0.09545454545454544,3,2.783170548459804e-05
0.09772727272727272,3,2.9867392937640864e-05
0.09999999999999999,3,3.199999999999999e-05
0.10227272727272727,3,3.423178061607813e-05
0.10454545454545454,3,3.656498873027798e-05
0.10681818181818181,3,3.9001878287002244e-05
0.10909090909090909,3,4.154470323065364e-05
0.11136363636363636,3,4.4195717505634855e-05
0.11363636363636363,3,4.6957175056348606e-05
0.1159090909090909,3,4.983132982719759e-05
0.11818181818181818,3,5.282043576258452e-05
0.12045454545454545,3,5.5926746806912094e-05
0.12272727272727273,3,5.915251690458302e-05
0.125,3,6.25e-05
0.12727272727272726,3,6.597145003756572e-05
0.12954545454545455,3,6.956912096168296e-05
0.1318181818181818,3,7.32952667167543e-05
0.1340909090909091,3,7.715214124718258e-05
0.13636363636363635,3,8.114199849737037e-05
0.13863636363636364,3,8.526709241172051e-05
0.1409090909090909,3,8.952967693463561e-05
0.1431818181818182,3,9.393200601051843e-05
0.14545454545454545,3,9.847633358377159e-05
0.1477272727272727,3,0.00010316491359879785
0.15,3,0.00010799999999999998
0.15227272727272725,3,0.00011298384673178058
0.15454545454545454,3,0.00011811870773854244
0.1568181818181818,3,0.00012340683696468818
0.1590909090909091,3,0.00012885048835462056
0.16136363636363635,3,0.00013445191585274225
0.16363636363636364,3,0.00014021337340345606
0.1659090909090909,3,0.00014613711495116449
0.16818181818181818,3,0.00015222539444027049
0.17045454545454544,3,0.00015848046581517654
0.17272727272727273,3,0.00016490458302028548
0.175,3,0.00017149999999999997
0.17727272727272728,3,0.0001782689706987228
0.17954545454545454,3,0.00018521374906085646
0.18181818181818182,3,0.00019233658903080393
0.18409090909090908,3,0.00019963974455296766
0.18636363636363634,3,0.0002071254695717505
0.18863636363636363,3,0.00021479601803155518
0.1909090909090909,3,0.0002226536438767843
0.19318181818181818,3,0.0002307006010518407
0.19545454545454544,3,0.0002389391435011269
0.19772727272727272,3,0.0002473715251690458
0.19999999999999998,3,0.00025599999999999993
0.20227272727272727,3,0.00026482682193839215
0.20454545454545453,3,0.00027385424492862504
0.20681818181818182,3,0.0002830845229151014
0.20909090909090908,3,0.00029251990984222384
0.21136363636363636,3,0.0003021626596543952
0.21363636363636362,3,0.00031201502629601795
0.2159090909090909,3,0.0003220792637114951
0.21818181818181817,3,0.00033235762584522913
0.22045454545454543,3,0.0003428523666416227
0.22272727272727272,3,0.00035356574004507884
0.22499999999999998,3,0.00036449999999999997
0.22727272727272727,3,0.00037565740045078885
0.22954545454545452,3,0.00038704019534184807
0.2318181818181818,3,0.0003986506386175807
0.23409090909090907,3,0.0004104909842223891
0.23636363636363636,3,0.00042256348610067614
0.23863636363636362,3,0.0004348703981968444
0.2409090909090909,3,0.00044741397445529675
0.24318181818181817,3,0.00046019646882043566
0.24545454545454545,3,0.00047322013523666415
0.2477272727272727,3,0.0004864872276483846
0.25,3,0.0005
0.25227272727272726,3,0.0005137607062359128
0.2545454545454545,3,0.0005277716003005258
0.2568181818181818,3,0.0005420349361382416
0.2590909090909091,3,0.0005565529676934636
0.26136363636363635,3,0.0005713279489105935
0.2636363636363636,3,0.0005863621337340344
0.2659090909090909,3,0.000601657776108189
0.2681818181818182,3,0.0006172171299774606
0.27045454545454545,3,0.0006330424492862509
0.2727272727272727,3,0.000649135987978963
0.27499999999999997,3,0.0006654999999999998
0.2772727272727273,3,0.0006821367392937641
0.27954545454545454,3,0.0006990484598046581
