z,rho_bh,rho_de,rho_dm,w_proxy
4.875,3.559162388126824e-05,1.0000000000002984,0.29999999999983784,-0.9999999999986433
4.8500000000000005,3.557900225654828e-05,1.0000000000003042,0.2999999999998346,-0.9999999999986491
4.825,3.557564116020688e-05,1.00000000000031,0.2999999999998314,-0.9999999999986549
4.800000000000001,3.558219194678605e-05,1.0000000000003157,0.29999999999982824,-0.9999999999986606
4.775,3.559934133765991e-05,1.0000000000003215,0.299999999999825,-0.9999999999986664
4.75,3.562781241448202e-05,1.0000000000003273,0.2999999999998218,-0.9999999999986467
4.7250000000000005,3.566836555586202e-05,1.0000000000003333,0.2999999999998186,-0.9999999999986271
4.7,3.572179930764846e-05,1.0000000000003393,0.29999999999981536,-0.9999999999986331
4.675,3.57889511767086e-05,1.0000000000003453,0.29999999999981214,-0.9999999999986391
4.65,3.5870698337632005e-05,1.0000000000003513,0.2999999999998089,-0.9999999999986451
4.625,3.59679582413474e-05,1.0000000000003573,0.29999999999980564,-0.9999999999986511
4.6000000000000005,3.6081689114237755e-05,1.0000000000003633,0.29999999999980237,-0.9999999999986571
4.575,3.621289033597282e-05,1.0000000000003693,0.2999999999997991,-0.9999999999986384
4.55,3.636260268395626e-05,1.0000000000003755,0.29999999999979576,-0.9999999999986198
4.525,3.653190843201385e-05,1.0000000000003817,0.29999999999979243,-0.999999999998626
4.5,3.6721931290734216e-05,1.000000000000388,0.29999999999978905,-0.9999999999986322
4.4750000000000005,3.693383617672247e-05,1.0000000000003941,0.2999999999997856,-0.9999999999986142
4.45,3.7168828797944764e-05,1.0000000000004006,0.2999999999997821,-0.9999999999985962
4.425,3.742815504233498e-05,1.000000000000407,0.2999999999997786,-0.9999999999985787
4.4,3.771310015691008e-05,1.0000000000004137,0.299999999999775,-0.9999999999985612
4.375,3.8024987704803105e-05,1.0000000000004203,0.29999999999977134,-0.999999999998544
4.3500000000000005,3.836517828787932e-05,1.0000000000004272,0.2999999999997676,-0.999999999998527
4.325,3.873506802295622e-05,1.000000000000434,0.29999999999976384,-0.9999999999985103
4.3,3.913608676010716e-05,1.0000000000004412,0.29999999999975996,-0.9999999999984702
4.275,3.9569696032097355e-05,1.0000000000004485,0.299999999999756,-0.9999999999984306
4.25,4.003738672468149e-05,1.000000000000456,0.29999999999975197,-0.9999999999983914
4.2250000000000005,4.054067645829023e-05,1.0000000000004639,0.2999999999997478,-0.9999999999983527
4.2,4.108110667255073e-05,1.0000000000004718,0.2999999999997435,-0.9999999999983143
4.175,4.166023940612458e-05,1.00000000000048,0.2999999999997391,-0.9999999999982765
4.15,4.227965376550955e-05,1.0000000000004885,0.29999999999973453,-0.9999999999982391
4.125,4.294094207773709e-05,1.0000000000004972,0.2999999999997298,-0.9999999999982021
